success,tracking_error,tail_error,jerk,planning_calls,mode_accuracy,persistent_mode_accuracy,event_count,event_evaluable,event_impactful,event_coverage,recovery_recovered,recovery_unrecovered,recovery_rate,recovery_delay_sum,recovery_steps,peak_to_recovery_delay_sum,peak_to_recovery_steps,seed,context,horizon
0.0,0.6278301218429871,0.9506727590767915,819.2600938101906,180.0,0.6033519553072626,0.6363636363636364,3.0,3.0,1.0,0.3333333333333333,0.0,1.0,0.0,15.0,15.0,6.0,6.0,29,1,1
0.0,0.492211612123078,0.5988672560580534,794.983082653349,180.0,0.5642458100558659,0.5743243243243243,4.0,4.0,3.0,0.75,2.0,1.0,0.6666666666666666,77.0,25.666666666666668,53.0,17.666666666666668,30,1,1
0.0,0.5927815424892996,0.6149819253165857,804.6393912393044,180.0,0.5921787709497207,0.6076923076923076,5.0,5.0,1.0,0.2,1.0,0.0,1.0,26.0,26.0,17.0,17.0,31,1,1
1.0,0.5602847784784986,0.3989307503093151,802.7973061211393,180.0,0.5418994413407822,0.553030303030303,3.0,3.0,1.0,0.3333333333333333,1.0,0.0,1.0,22.0,22.0,15.0,15.0,32,1,1
0.0,0.700514042370146,0.9203486908534467,793.7241353235482,180.0,0.5810055865921788,0.5490196078431373,8.0,7.0,5.0,0.7142857142857143,2.0,3.0,0.4,93.0,18.6,53.0,10.6,33,1,1
0.0,0.6113676441400904,0.7296402712374136,859.0174507436702,180.0,0.5586592178770949,0.5402298850574713,10.0,9.0,3.0,0.3333333333333333,1.0,2.0,0.3333333333333333,13.0,4.333333333333333,4.0,1.3333333333333333,34,1,1
1.0,0.4542277194918812,0.5420883556866408,838.3715792906518,180.0,0.5865921787709497,0.6,6.0,4.0,2.0,0.5,0.0,2.0,0.0,49.0,24.5,38.0,19.0,35,1,1
0.0,0.5186400697633715,0.6616991261999438,765.4529547023643,180.0,0.5754189944134078,0.5392156862745098,6.0,6.0,2.0,0.3333333333333333,0.0,2.0,0.0,60.0,30.0,42.0,21.0,36,1,1
1.0,0.49551430324078444,0.38471919883474737,839.4508437726722,180.0,0.5810055865921788,0.582089552238806,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,37,1,1
0.0,0.7789014285034099,0.76073748513804,643.5367672764236,180.0,0.5977653631284916,0.61,6.0,5.0,2.0,0.4,0.0,2.0,0.0,49.0,24.5,31.0,15.5,38,1,1
0.0,0.6771379342093654,0.46428555112311765,751.7714810857047,180.0,0.5921787709497207,0.5909090909090909,7.0,7.0,3.0,0.42857142857142855,0.0,3.0,0.0,49.0,16.333333333333332,27.0,9.0,39,1,1
1.0,0.5493879719927592,0.4181845116125855,875.7529503757523,180.0,0.5698324022346368,0.5670731707317073,4.0,4.0,3.0,0.75,2.0,1.0,0.6666666666666666,23.0,7.666666666666667,14.0,4.666666666666667,40,1,1
0.0,0.6120285719084371,0.7901876231093655,797.9361713747899,180.0,0.5698324022346368,0.5670731707317073,1.0,1.0,1.0,1.0,0.0,1.0,0.0,23.0,23.0,14.0,14.0,41,1,1
0.0,0.5258104271101285,0.5721522666789484,834.8388752729062,180.0,0.5754189944134078,0.5675675675675675,4.0,4.0,1.0,0.25,1.0,0.0,1.0,57.0,57.0,48.0,48.0,42,1,1
1.0,0.601512803265007,0.48181305883894654,775.0099854693453,180.0,0.6201117318435754,0.6388888888888888,6.0,6.0,4.0,0.6666666666666666,3.0,1.0,0.75,58.0,14.5,32.0,8.0,43,1,1
1.0,0.48070323606108284,0.4806897956056545,852.5622110880068,180.0,0.5418994413407822,0.541095890410959,5.0,5.0,3.0,0.6,2.0,1.0,0.6666666666666666,49.0,16.333333333333332,25.0,8.333333333333334,44,1,1
1.0,0.6108804183060252,0.3118000292321585,804.7919027447809,180.0,0.547486033519553,0.5681818181818182,5.0,5.0,2.0,0.4,0.0,2.0,0.0,21.0,10.5,9.0,4.5,45,1,1
1.0,0.5004091905774763,0.3978987628781392,810.9810664028013,180.0,0.5586592178770949,0.6,9.0,8.0,4.0,0.5,1.0,3.0,0.25,59.0,14.75,33.0,8.25,46,1,1
0.0,0.579702281717698,0.813123666426187,826.6833784390412,180.0,0.5586592178770949,0.5671641791044776,5.0,5.0,2.0,0.4,1.0,1.0,0.5,56.0,28.0,40.0,20.0,47,1,1
1.0,0.5180528221125423,0.35695575560276993,822.8880646411546,180.0,0.5642458100558659,0.584,6.0,6.0,4.0,0.6666666666666666,1.0,3.0,0.25,63.0,15.75,32.0,8.0,48,1,1
