scenario_id,repeat,feedback,mass,friction,fragility,tightness,success,object_damage,slip_drop,insertion_failure,excess_force,force_profile_rmse,force_error_variance,retries,handoff_balance_error,mean_speed,insertion_speed,slip_probability,damage_probability
9,0,haptic_on,0.4950267351368419,0.7817919756109978,7.655197770828429,0.5527978518490385,1.0,0.0,0.0,0.0,0.0,0.27102989946225176,0.007619301711672138,0.0,0.028507277028431963,0.961731513168352,0.8042526292290454,0.08535848467628654,0.0
9,1,haptic_off,0.4950267351368419,0.7817919756109978,7.655197770828429,0.5527978518490385,1.0,0.0,0.0,0.0,0.0,0.9278902876350366,0.27832795664703686,0.0,0.07608003294893498,0.8668261686284995,0.8176936644473082,0.18539718316977635,0.0
9,1,haptic_on,0.4950267351368419,0.7817919756109978,7.655197770828429,0.5527978518490385,1.0,0.0,0.0,0.0,0.0,0.23074856246443215,0.009901599424913117,0.0,0.02219000961010603,0.9636047458898163,0.8181755395550621,0.08847985830139968,0.0
10,0,haptic_off,0.4634982458852795,0.6715156372976357,8.56701752754711,0.453554028767979,1.0,0.0,0.0,0.0,0.0,1.0006184998817798,0.3409525326144553,1.0,0.07740669183208732,0.8679964209267174,0.7895523719312941,0.17923719343937652,0.0
10,0,haptic_on,0.4634982458852795,0.6715156372976357,8.56701752754711,0.453554028767979,1.0,0.0,0.0,0.0,0.0,0.23313607975803913,0.00851660180578644,1.0,0.02263598194608112,0.9683089667220331,0.8328767082770848,0.08363265449929679,0.0
10,1,haptic_off,0.4634982458852795,0.6715156372976357,8.56701752754711,0.453554028767979,1.0,0.0,0.0,0.0,0.0,1.1260490807202022,0.3835669787439335,0.0,0.08316519612656113,0.8471134485623657,0.7830817518783012,0.18938398032772055,0.0
10,1,haptic_on,0.4634982458852795,0.6715156372976357,8.56701752754711,0.453554028767979,1.0,0.0,0.0,0.0,0.0,0.25627605743837184,0.006025724248904436,0.0,0.02572036516985796,0.9602770542742056,0.830388008256703,0.08777979427894891,0.0
11,0,haptic_off,0.5556534908310744,0.8245760139250242,7.463690058885066,0.22075812768476064,1.0,0.0,0.0,0.0,0.0,1.054867496968118,0.27062339604469593,0.0,0.07294261013747678,0.8690802428182953,0.850010280128078,0.17142286116215927,0.0
11,0,haptic_on,0.5556534908310744,0.8245760139250242,7.463690058885066,0.22075812768476064,1.0,0.0,0.0,0.0,0.0,0.30386625615577373,0.011061987523172235,0.0,0.02194825040654213,0.979755628206696,0.9223085913571073,0.08343258749582788,0.0
11,1,haptic_off,0.5556534908310744,0.8245760139250242,7.463690058885066,0.22075812768476064,0.0,0.0,1.0,0.0,0.0,1.075783575706088,0.29020019764830396,0.0,0.07756028024101884,0.858297581213692,0.8508164602294569,0.17907504216809003,0.0
11,1,haptic_on,0.5556534908310744,0.8245760139250242,7.463690058885066,0.22075812768476064,1.0,0.0,0.0,0.0,0.0,0.30197025022407675,0.009321966317519127,0.0,0.025127110705578753,0.9756084506664641,0.9226186606268681,0.08436099948807083,0.0
12,0,haptic_off,0.48243078841296955,0.850801146183406,9.48267755168706,0.5348925273941099,0.0,0.0,1.0,0.0,0.0,0.912151290019427,0.25661268281220134,1.0,0.09574810891917096,0.8496788293414559,0.80196057652821,0.18962152474903687,0.0
12,0,haptic_on,0.48243078841296955,0.850801146183406,9.48267755168706,0.5348925273941099,0.0,0.0,1.0,0.0,0.0,0.2568917981470339,0.006763055473872283,1.0,0.027926531768091525,0.9578629093905269,0.8172441158682343,0.08518634955719259,0.0
12,1,haptic_off,0.48243078841296955,0.850801146183406,9.48267755168706,0.5348925273941099,1.0,0.0,0.0,0.0,0.0,0.7709989588955651,0.2785673829531927,1.0,0.10444431221853571,0.8568714547304455,0.7895688604852629,0.248229628511845,0.0
12,1,haptic_on,0.48243078841296955,0.850801146183406,9.48267755168706,0.5348925273941099,1.0,0.0,0.0,0.0,0.0,0.20625650804929574,0.006772206996606882,0.0,0.030462924397072922,0.9606293037709076,0.8124780712363316,0.08678267435371342,0.0
13,0,haptic_off,0.5492402536372982,0.7953362526880491,8.801352887114387,0.5732181852851038,1.0,0.0,0.0,0.0,0.0,0.8163388867510618,0.3311693443682714,1.0,0.09619280176188788,0.8571000029109731,0.7760007630284933,0.1906258474128447,0.0
13,0,haptic_on,0.5492402536372982,0.7953362526880491,8.801352887114387,0.5732181852851038,1.0,0.0,0.0,0.0,0.0,0.23371284941132964,0.015171570862775456,1.0,0.028056233847217296,0.9587184646553661,0.7952671186431086,0.08522476642648312,0.0
13,1,haptic_off,0.5492402536372982,0.7953362526880491,8.801352887114387,0.5732181852851038,0.0,0.0,1.0,0.0,0.0,1.009701845188736,0.43659671821190876,1.0,0.09830405460733728,0.853925420085938,0.8031646861560785,0.2419552492223798,0.0
13,1,haptic_on,0.5492402536372982,0.7953362526880491,8.801352887114387,0.5732181852851038,0.0,0.0,1.0,0.0,0.0,0.25972840902508826,0.008014112841368722,0.0,0.028672015927140054,0.9574974712611218,0.8057147813844876,0.08540737130529814,0.0
