method,trial_seed,latency_scale,disturbance_scale,success,tracking_rmse,tail_tracking_rmse,final_error,boundary_discontinuity,p95_boundary_discontinuity,handoff_staleness,context_age_ms,rms_jerk,idle_fraction,deadline_miss_steps,simulated_first_action_latency_ms,configured_first_action_latency_ms,emitted_chunks,decoder_launches,decoder_sequential_passes,decoder_slot_updates,causal_pair_interactions
isolated_n_step,1999402953,1.5,1.0,1.0,0.4682034195946244,0.13954958315646254,0.2249606260915948,0.3302298144008743,0.909460632385859,0.2306880785050434,200.0,14.240723018022617,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
few_step_distilled,1999402953,1.5,1.0,1.0,0.437116189159674,0.1279305823128756,0.20604399906345125,0.34529406244051414,0.6330043269771349,0.0823608129101285,75.00000000000001,12.412050657030065,0.0125,0,75.00000000000001,60.0,30,30,60,60,0
streaming_no_causal,1999402953,1.5,1.0,0.0,0.4861909452585899,0.2958612884932734,0.22889823674720985,0.2728515835210658,0.4296205201854761,0.05857989663329381,55.172413793103445,13.42976969400309,0.03333333333333333,0,200.0,180.0,29,30,35,195,0
streaming_causal,1999402953,1.5,1.0,1.0,0.49481802263251246,0.12067582540040009,0.18644651838685744,0.05319640835861583,0.11067001711501001,0.0018294718468364773,55.172413793103445,12.71206108972682,0.03333333333333333,0,200.0,180.0,29,30,35,195,644
future_state_conditioned,1999402953,1.5,1.0,1.0,0.4924702656234303,0.11271769888212936,0.17698936226474415,0.20367378206406314,0.49563705799534846,0.0057527690603765445,200.0,13.172092995760677,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
isolated_n_step,1285192367,1.5,1.0,1.0,0.49905961813884364,0.17672046107527106,0.10582815878400342,0.3550443764456693,1.1215499801903566,0.18676211034562515,200.0,14.490528061876903,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
few_step_distilled,1285192367,1.5,1.0,1.0,0.4624633052610472,0.19340302643937862,0.15255364721618966,0.33775796755205745,0.6821884759389304,0.06344922987097812,75.00000000000001,13.633048011649553,0.0125,0,75.00000000000001,60.0,30,30,60,60,0
streaming_no_causal,1285192367,1.5,1.0,0.0,0.5127396331916755,0.231147848920845,0.02078377596872632,0.3334639754882371,0.9182074270377296,0.048998638467763214,55.172413793103445,13.983093772829182,0.03333333333333333,0,200.0,180.0,29,30,35,195,0
streaming_causal,1285192367,1.5,1.0,1.0,0.5075792250005148,0.1880774523610623,0.16032170118026517,0.04402982349849936,0.09789843580856801,0.0019252279396925005,55.172413793103445,12.72305991260675,0.03333333333333333,0,200.0,180.0,29,30,35,195,644
future_state_conditioned,1285192367,1.5,1.0,1.0,0.5046504804364695,0.1821220278709451,0.1550892592747147,0.1848693665483024,0.6056341732595938,0.005852301574088021,200.0,13.316130300066977,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
