method,delay,trial,tracking_rmse,tail_tracking_rmse,final_error,success,handoff_action_jump,proprio_context_error,latent_context_rmse,handoff_policy_error,control_effort
policy_consistency,8,39,1.0914415093891163,0.6746821920582834,0.5747298563058033,1.0,0.8997647633312993,0.02614505952052018,0.07757756882727755,0.10706167961774679,5.132508259813547
oracle_fresh,8,40,0.8914515452589095,0.6419671180122636,0.5912375060267502,1.0,0.8947116399028753,0.0,0.0,0.0,3.6720531286996625
naive_stale,8,40,2.2262733934234418,3.154782569542199,3.4406509710831816,0.0,1.493479766371139,1.8602822109718427,0.4156332915976551,2.0860090170133625,13.863814939249208
state_rollout,8,40,1.4167220189406653,1.3165083937068602,0.8835039327257465,0.0,1.013677401837026,0.2004377915598181,0.4156332915976551,1.789540527795356,3.109010799340363
state_correction,8,40,1.3433768452153587,1.2357109668077295,1.0077897299425675,0.0,0.9016817801311593,0.029652995125654766,0.4156332915976551,1.5950754561276492,3.689645598405085
obs_transport,8,40,1.3650290144403805,1.3648192485072332,1.396234386892263,0.0,1.435276975909909,0.029515090219494146,0.2701032889707109,1.0943502942978964,5.839423107687791
obs_innovation,8,40,0.9108608608074161,0.6492967347032357,0.6548684787020846,1.0,0.9976629163169362,0.03040710446408895,0.07589450134229205,0.14555097724487423,3.9041706837089
policy_consistency,8,40,0.8710079800519361,0.5348299483287932,0.5588974427439961,1.0,0.9673624649220488,0.030553750542350062,0.08669481508197634,0.2202668827507068,3.7759344955107568
oracle_fresh,8,41,1.2366692190091917,0.6554772773086718,0.46969959291540614,1.0,0.8273269181709308,0.0,0.0,0.0,5.389771823996488
naive_stale,8,41,3.14865107694879,3.6740880924214365,2.9852295211067,0.0,1.285860417751705,2.245272115461083,0.3390201999774893,2.27694674191047,20.66369236781459
state_rollout,8,41,1.4747931805721897,1.0181405233766168,1.0421015293586002,0.0,0.8885847009614257,0.17812126564202507,0.3390201999774893,1.339672739274608,4.113242601686003
state_correction,8,41,1.4952174404784142,1.0522057831689928,1.1619074500715496,0.0,0.923449125722676,0.028857539010151905,0.3390201999774893,1.1964864231440713,5.017624785946302
obs_transport,8,41,1.6383723198366884,1.4127884232215004,1.1510029547272795,0.0,1.4133022251799214,0.02969933528896848,0.2808050537008139,1.0672513822992098,7.558049715024275
obs_innovation,8,41,1.2417513416887835,0.6659012341225272,0.5590297211770962,1.0,0.9015514692170954,0.031029592507201477,0.08024947939126185,0.1531389905475052,5.424645118478753
policy_consistency,8,41,1.2300141904701658,0.628041849183159,0.5576061701903489,1.0,0.8767857987759238,0.031086749894419567,0.08122256236580974,0.16208799452554956,5.321769945327041
oracle_fresh,8,42,1.0615829540790118,0.6657085154061535,0.5201691337493005,1.0,0.9768933244358557,0.0,0.0,0.0,4.007735715608027
naive_stale,8,42,2.5282799684296178,3.264627070655524,3.6651626772900574,0.0,1.4875796146603224,1.9902505592600486,0.34541603609301275,2.369943464142262,15.865604461713016
state_rollout,8,42,1.4097189367665806,1.0844914571506614,1.055624521285758,0.0,1.0613660334507067,0.17772363214826187,0.34541603609301275,1.421219596505341,3.4284746201652543
state_correction,8,42,1.3692664516383009,1.0707592997452606,1.0996798785631212,0.0,1.0324296314743886,0.030265710707700056,0.34541603609301275,1.2532010313896937,3.9626553448651776
obs_transport,8,42,1.5376222555483428,1.3881236018190497,1.242853077393554,0.0,1.559824018445969,0.030606814093983633,0.26108085681926724,1.0560257001745268,6.177324284334928
obs_innovation,8,42,1.067860415879084,0.6676705423631486,0.5397804721002037,1.0,1.0617941207383244,0.0312824136687264,0.06989393986595469,0.1372167068355818,4.005360975627683
policy_consistency,8,42,1.0721495154846505,0.689134160904184,0.5191518766867894,1.0,1.0581631796959505,0.031217605127323345,0.07022035323354117,0.13244184545571,3.982454385527393
oracle_fresh,8,43,1.1684197825105949,0.7061581765663518,0.7161331516376565,1.0,0.8850266354050332,0.0,0.0,0.0,4.5109352232055535
naive_stale,8,43,2.834327128444818,3.5350710846261455,3.340594572934494,0.0,1.5046404909457716,2.1554270949721377,0.3825369308477632,2.6625879430242314,18.87469104730728
