trial,method,success,collision,timed_out,duration_s,min_clearance,ood_fraction,path_error_mean,path_error_max,jerk_proxy
trial_058,nominal,0,1,0,4.340,-0.1099,0.0000,0.0003,0.0007,0.0000
trial_058,reactive_cbf_like,1,0,0,6.790,0.0438,0.0000,0.0050,0.0256,0.9211
trial_058,pacs_time_law,1,0,0,6.125,0.1843,0.0000,0.0003,0.0009,0.5215
trial_059,nominal,0,1,0,4.340,-0.1190,0.0000,0.0003,0.0007,0.0000
trial_059,reactive_cbf_like,1,0,0,6.265,0.1094,0.0000,0.0020,0.0047,1.0586
trial_059,pacs_time_law,1,0,0,5.460,0.1960,0.0000,0.0003,0.0008,0.9268
trial_060,nominal,0,1,0,4.340,-0.1326,0.0000,0.0003,0.0007,0.0000
trial_060,reactive_cbf_like,0,1,0,6.440,-0.0074,0.2162,0.0153,0.0548,3.6786
trial_060,pacs_time_law,1,0,0,6.370,0.1982,0.0000,0.0003,0.0009,0.5271
trial_061,nominal,1,0,0,4.340,0.0161,0.0000,0.0003,0.0007,0.0000
trial_061,reactive_cbf_like,1,0,0,5.985,0.2484,0.0000,0.0017,0.0044,0.9242
trial_061,pacs_time_law,1,0,0,4.900,0.1987,0.0000,0.0003,0.0008,0.6035
trial_062,nominal,0,1,0,4.340,-0.1436,0.0000,0.0003,0.0007,0.0000
trial_062,reactive_cbf_like,1,0,0,6.405,0.0266,0.0000,0.0024,0.0162,0.9757
trial_062,pacs_time_law,1,0,0,5.915,0.1742,0.0000,0.0003,0.0008,0.6735
trial_063,nominal,0,1,0,4.340,-0.1191,0.0000,0.0003,0.0007,0.0000
trial_063,reactive_cbf_like,0,1,0,6.895,-0.0318,0.1212,0.0107,0.0799,2.4256
trial_063,pacs_time_law,1,0,0,6.125,0.0945,0.0000,0.0003,0.0007,0.6006
trial_064,nominal,0,1,0,4.340,-0.1308,0.0000,0.0003,0.0007,0.0000
trial_064,reactive_cbf_like,1,0,0,6.545,0.0060,0.3032,0.0184,0.0603,3.9028
trial_064,pacs_time_law,1,0,0,6.860,0.1943,0.0000,0.0003,0.0007,0.6140
trial_065,nominal,0,1,0,4.340,-0.0423,0.0000,0.0003,0.0007,0.0000
trial_065,reactive_cbf_like,1,0,0,6.440,0.0669,0.0000,0.0033,0.0104,1.0373
trial_065,pacs_time_law,1,0,0,5.705,0.2014,0.0000,0.0003,0.0008,0.6941
trial_066,nominal,0,1,0,4.340,-0.0930,0.0000,0.0003,0.0007,0.0000
trial_066,reactive_cbf_like,1,0,0,6.405,0.0790,0.0000,0.0082,0.0349,0.8986
trial_066,pacs_time_law,1,0,0,5.740,0.1954,0.0000,0.0003,0.0008,0.8452
trial_067,nominal,0,1,0,4.340,-0.1393,0.0000,0.0003,0.0007,0.0000
trial_067,reactive_cbf_like,0,1,0,6.510,-0.0363,0.0000,0.0056,0.0288,1.4306
trial_067,pacs_time_law,1,0,0,5.950,0.1097,0.0000,0.0003,0.0007,0.5241
trial_068,nominal,0,1,0,4.340,-0.1084,0.0000,0.0003,0.0007,0.0000
trial_068,reactive_cbf_like,1,0,0,6.335,0.0082,0.0440,0.0078,0.0371,1.8266
trial_068,pacs_time_law,1,0,0,6.230,0.1989,0.0000,0.0003,0.0008,0.6373
trial_069,nominal,0,1,0,4.340,-0.0111,0.0000,0.0003,0.0007,0.0000
trial_069,reactive_cbf_like,0,1,0,6.860,-0.0273,0.3858,0.0260,0.0850,5.0189
trial_069,pacs_time_law,0,0,1,6.930,0.1749,0.0000,0.0003,0.0008,0.6064
trial_070,nominal,1,0,0,4.340,0.0040,0.0000,0.0003,0.0007,0.0000
trial_070,reactive_cbf_like,0,1,0,5.250,-0.0274,0.3377,0.0304,0.1486,6.3224
trial_070,pacs_time_law,1,0,0,6.685,0.1097,0.0000,0.0003,0.0008,0.4662
trial_071,nominal,0,1,0,4.340,-0.0882,0.0000,0.0003,0.0007,0.0000
trial_071,reactive_cbf_like,1,0,0,6.300,0.0237,0.0000,0.0067,0.0338,1.1932
trial_071,pacs_time_law,1,0,0,6.160,0.2010,0.0000,0.0003,0.0008,0.6118
trial_072,nominal,0,1,0,4.340,-0.1291,0.0000,0.0003,0.0007,0.0000
trial_072,reactive_cbf_like,1,0,0,6.265,0.1641,0.0000,0.0016,0.0064,0.9024
