method,severity,trial,schedule_fingerprint,success,tracking_rmse,tail_rmse,final_error,policy_rmse,action_jerk,control_effort,latent_rmse,mean_inference_loss
history_h16_chunk4,2.0,6,b4125917d24bbf42,0.0,1.051509454742286,1.9668839597120926,0.29198233104947136,0.802821310843384,0.21148117023354915,1.7499883199903936,nan,nan
oracle,2.0,7,e582b2b9cfeedd45,1.0,0.28041896802371663,0.2613116906957941,0.43839935473659786,0.0,0.11077504841071809,0.9935280704155997,0.0,nan
open_loop,2.0,7,e582b2b9cfeedd45,0.0,5.478422852250916,3.639407957088589,1.5723636784546446,2.1959883558775166,0.05797932569181708,0.3448285853659659,3.140990548906806,0.0
pred_error_w8,2.0,7,e582b2b9cfeedd45,0.0,0.3404981942504819,0.3538871106937625,0.6131643304977334,0.24421385463106804,0.15677102809314192,1.0466155334960348,0.07748841952354127,0.00040802050156901314
history_h4,2.0,7,e582b2b9cfeedd45,0.0,0.3843755427867568,0.4290197873754147,0.7068713688679331,0.3527306935325548,0.12940848640611277,1.1269478893104006,nan,nan
history_h16,2.0,7,e582b2b9cfeedd45,0.0,0.3404292130402675,0.3886954285470249,0.6459017224968591,0.29368203878001126,0.12399263097834504,1.0705186377874898,nan,nan
history_h16_chunk4,2.0,7,e582b2b9cfeedd45,0.0,0.4448034212957018,0.5272416167995312,0.8897409570158352,0.46613848297874816,0.15238169553576889,1.1504000203578844,nan,nan
oracle,2.0,8,acddec620d77a389,0.0,0.7671416264216206,0.9414510610917705,0.4857074717961751,0.0,0.1166303470254324,1.5429582695796216,0.0,nan
open_loop,2.0,8,acddec620d77a389,0.0,25.223883768935547,43.36096671048626,52.766567582770506,3.071399020203969,0.02787877957298879,0.15325156579654486,9.192414759301252,0.0
pred_error_w8,2.0,8,acddec620d77a389,0.0,1.355342717131544,2.2452393764111354,1.9227615106349667,0.8919369816665442,0.11070247737347337,1.3708562123238681,0.5043916348631854,0.22556646118032908
history_h4,2.0,8,acddec620d77a389,0.0,0.654502784805454,0.6250034400297766,0.9101829706162263,0.7012265998728875,0.16326161098502412,1.6567184036259623,nan,nan
history_h16,2.0,8,acddec620d77a389,0.0,0.6611326145714412,0.6389671148624948,0.8980976285416986,0.6705892036677144,0.165195457681798,1.6683785965141664,nan,nan
history_h16_chunk4,2.0,8,acddec620d77a389,0.0,0.7741041731693808,0.7605304749789119,0.967415278328577,0.7241169216346766,0.18415730316218965,1.6348236522417507,nan,nan
oracle,2.0,9,0279e48a1348c4bb,1.0,0.33543037561218325,0.2899794712187857,0.3459683224659331,0.0,0.13860693642669428,1.1043242377918965,0.0,nan
open_loop,2.0,9,0279e48a1348c4bb,0.0,2.986147873368451,5.553153915129012,10.10837479550576,2.2689538151976696,0.0698966691840604,0.48019784773046476,2.676149487213419,0.0
pred_error_w8,2.0,9,0279e48a1348c4bb,1.0,0.32168806282267276,0.16901074717367154,0.19607730260096345,0.3450375309742167,0.1737291198452389,1.127379700245399,0.16265516554420908,0.011306493144777734
history_h4,2.0,9,0279e48a1348c4bb,1.0,0.36579267392199555,0.1314820478641478,0.15749816505510128,0.578871031459392,0.16773773765771965,1.2165745040699447,nan,nan
history_h16,2.0,9,0279e48a1348c4bb,1.0,0.32748346439520737,0.1135680719154587,0.08388871862984937,0.7259433283123311,0.16061952426557088,1.1674023606925694,nan,nan
