seed,method,buffer_size,final_avg_success,final_old_success,final_current_success,final_tracking_rmse,final_on_policy_action_mse,nbt,mean_interaction_drop,worst_interaction_drop,final_forgetting,auc,plasticity,anchor_concentration,runtime_seconds
22,random,288,0.3828125,0.2604166666666667,0.75,0.4917910544217757,2.0786291041378955,0.4913194444444445,0.20833333333333334,0.90625,0.4166666666666667,0.4348958333333333,0.6953125,0.09606481481481481,2.847305326984497
22,loss_hard,12,0.25,0.0,1.0,1.692248800037086,8.71157414074382,0.6979166666666666,0.3489583333333333,1.0,0.6979166666666666,0.4088541666666667,0.7734375,0.6666666666666666,2.8883210809726734
22,loss_hard,32,0.25,0.0,1.0,1.8959170796305846,9.91369687270159,0.7395833333333334,0.3697916666666667,1.0,0.7395833333333334,0.4283854166666667,0.8046875,0.6666666666666666,2.835307984991232
22,loss_hard,96,0.234375,0.0,0.9375,1.6099097511795406,8.250642137642355,0.7395833333333334,0.3697916666666667,1.0,0.7395833333333334,0.4153645833333333,0.7890625,0.5972222222222222,2.7508600290166214
22,loss_hard,288,0.4765625,0.3333333333333333,0.90625,0.49311477665691905,2.1401879830596324,0.34722222222222215,0.15104166666666666,0.65625,0.3020833333333333,0.513671875,0.703125,0.16203703703703703,2.704594451992307
22,diversity,12,0.2890625,0.052083333333333336,1.0,0.839241317096787,4.180246095303162,0.5381944444444445,0.3020833333333333,0.875,0.6041666666666666,0.453125,0.7421875,0.08333333333333333,2.7550947409763467
22,diversity,32,0.625,0.5208333333333334,0.9375,0.3517413541814629,1.431660504005345,0.3923611111111111,0.16145833333333334,0.65625,0.3229166666666667,0.6627604166666667,0.8671875,0.15625,2.7423431249917485
22,diversity,96,0.4765625,0.4270833333333333,0.625,0.44613202304144484,1.9222256504683857,0.3888888888888889,0.14583333333333334,0.6875,0.2916666666666667,0.4928385416666667,0.6953125,0.15277777777777776,2.7881036660110112
22,diversity,288,0.40625,0.23958333333333334,0.90625,0.525779833344227,2.3559525979543676,0.48263888888888884,0.22916666666666666,0.84375,0.4583333333333333,0.49348958333333337,0.75,0.13773148148148148,2.798187272012001
22,anchors,12,0.5703125,0.4479166666666667,0.9375,0.4332028424169516,1.6712519204957894,0.421875,0.16145833333333334,1.0,0.3229166666666667,0.57421875,0.8125,0.19444444444444442,2.714001112006372
22,anchors,32,0.2890625,0.07291666666666667,0.9375,0.6611615530803565,2.96116975727465,0.5486111111111112,0.3020833333333333,0.875,0.6041666666666666,0.4466145833333333,0.7421875,0.20833333333333334,2.7304104850045405
22,anchors,96,0.3203125,0.20833333333333334,0.65625,0.530370424765462,2.253437578426504,0.515625,0.24479166666666666,0.96875,0.4895833333333333,0.4114583333333333,0.6875,0.23611111111111113,2.7441678470058832
22,anchors,288,0.375,0.20833333333333334,0.875,0.5508782465683774,2.344195110275055,0.5225694444444445,0.2552083333333333,0.90625,0.5104166666666666,0.48046875,0.7578125,0.23726851851851852,2.7265424040087964
