seed,method,buffer_size,train_stage,eval_task,success,tracking_rmse,branch_error,final_error,on_policy_action_mse,runtime_seconds
17,loss_hard,32,2,2,0.65625,0.22460127750302128,0.24006611605077474,0.19315363376944283,0.7609571962963445,2.727294519019779
17,loss_hard,32,3,0,0.0,2.2788390324485377,1.663353917345065,4.143834243740547,13.621539071258272,2.727294519019779
17,loss_hard,32,3,1,0.0,2.5920403600108677,2.8637861829379,3.5327754846343193,13.00556451506895,2.727294519019779
17,loss_hard,32,3,2,0.0,1.2200502684005956,0.5893661445443092,2.4994391578592867,6.779562757011828,2.727294519019779
17,loss_hard,32,3,3,0.40625,0.12196091743294586,0.06451335984532539,0.24780343621614978,0.3553131214325077,2.727294519019779
17,loss_hard,96,0,0,1.0,0.0528091735943454,0.046817334334491145,0.014041529872021313,0.02720288051508781,2.81794588197954
17,loss_hard,96,1,0,0.0,1.1982250210982186,0.5437292937556716,2.45672665226053,6.208438108455857,2.81794588197954
17,loss_hard,96,1,1,0.1875,0.5717445682904397,0.5001076084299407,0.9274682803949501,3.446527303389916,2.81794588197954
17,loss_hard,96,2,0,0.0,1.9667669406451975,2.542513904927638,1.8575517585464163,8.956855298224362,2.81794588197954
17,loss_hard,96,2,1,0.0,0.7552360167321832,0.4050232545500496,1.2970401866897117,3.3344020463425217,2.81794588197954
17,loss_hard,96,2,2,0.375,0.2776946817532449,0.2920698369019362,0.2656655689952908,1.1248967199986188,2.81794588197954
17,loss_hard,96,3,0,0.0,0.6695872437569845,0.3939566192893642,1.1473975738482647,3.397084058910121,2.81794588197954
17,loss_hard,96,3,1,0.0,1.6470848943333258,2.159187239630836,1.4723214139032539,7.935627541901922,2.81794588197954
17,loss_hard,96,3,2,0.0,0.6635510034636443,0.45457980327946534,1.1150429786089615,3.484306080654528,2.81794588197954
17,loss_hard,96,3,3,1.0,0.054268838466999786,0.03860544088607752,0.047895216695471456,0.029191802649419705,2.81794588197954
17,loss_hard,288,0,0,1.0,0.05164701934005981,0.04633306989563899,0.024651053877782346,0.028080267155099575,2.903067368984921
17,loss_hard,288,1,0,0.0625,0.601691479139326,0.6729131422788608,0.523124673588912,2.9306056508243468,2.903067368984921
17,loss_hard,288,1,1,0.8125,0.17121801755143762,0.20547368810045147,0.03778712403872357,0.4548217298182158,2.903067368984921
17,loss_hard,288,2,0,0.0,1.3946247565665837,2.1285312350884684,0.2521036353403373,5.64113436735504,2.903067368984921
17,loss_hard,288,2,1,0.90625,0.13204048988009437,0.13192852758732504,0.04769550049560021,0.2652184986702998,2.903067368984921
17,loss_hard,288,2,2,0.75,0.17031636252957996,0.202936708464248,0.052730675333956256,0.4428730998420435,2.903067368984921
17,loss_hard,288,3,0,0.0,1.0669234360035786,0.5449579271243454,2.1018846219481873,5.443989181130224,2.903067368984921
17,loss_hard,288,3,1,0.0,1.8539008644085861,2.257074201414933,2.138203446261565,9.318578483051956,2.903067368984921
17,loss_hard,288,3,2,0.3125,0.45452213811727377,0.42743754737878675,0.44851172234570075,2.1030668521891043,2.903067368984921
17,loss_hard,288,3,3,1.0,0.030728900728995586,0.019069600961665194,0.004928347222012928,0.001572259189998074,2.903067368984921
17,diversity,12,0,0,1.0,0.05068334623699321,0.0432460875058992,0.02767838502116718,0.02789384863320581,2.7775046629831195
17,diversity,12,1,0,0.1875,0.7116058430576458,0.7214471403425656,0.8558427406276266,3.6078589021594407,2.7775046629831195
17,diversity,12,1,1,0.59375,0.20075934011817276,0.25993020172097964,0.03276890064022719,0.5836376129278773,2.7775046629831195
17,diversity,12,2,0,0.0,1.226902556969446,1.7607898231466554,0.5009180400158533,5.362665183610467,2.7775046629831195
17,diversity,12,2,1,0.15625,0.8869505449337406,1.266370996699203,0.4018300597158472,3.84589531247729,2.7775046629831195
17,diversity,12,2,2,0.15625,0.56334028705757,0.6286180259293961,0.5471620542079461,2.8529879682372457,2.7775046629831195
17,diversity,12,3,0,0.5,0.25166831447832555,0.23182126255081192,0.01802832670982263,0.8848077865459543,2.7775046629831195
17,diversity,12,3,1,0.03125,1.035399099316956,1.6201984702127321,0.012359498527890636,4.3544710850240795,2.7775046629831195
17,diversity,12,3,2,0.6875,0.17481739416734393,0.21819730744737764,0.012470565670486655,0.5151364884687897,2.7775046629831195
17,diversity,12,3,3,1.0,0.03015547151766486,0.010526573743415289,0.005370217081072717,0.003615015794542744,2.7775046629831195
17,diversity,32,0,0,1.0,0.04590222483974406,0.03841647074791872,0.02434348557482216,0.020951774563260153,2.779433923016768
17,diversity,32,1,0,0.40625,0.3942194678973361,0.45797597616384467,0.2929961364927035,1.8306651404051242,2.779433923016768
