seed,shots,target_demo_transitions,method,label,prediction_rmse,position_rmse,mean_state_l2,p90_position_l2,candidate_top1,candidate_regret,candidate_regret_p90,planning_success
23,4,48,latent_to_ee_curriculum,Latent→EE curriculum,0.014317013241641377,0.004314058478525509,0.01833160449764544,0.006438245413603392,0.91875,0.00019803266004057634,0.0,0.975
23,8,96,raw_joint,Raw / padded joints,0.023325776055392208,0.006184571919983912,0.0392569143298055,0.012879860317858611,0.8,0.0011614798123968134,0.0052029733103022375,0.8625
23,8,96,canonical_ee,Canonical EE,0.012593068821994383,0.003156338486900828,0.01655867884021235,0.005473641623972209,0.934375,0.0001261340722990874,0.0,0.984375
23,8,96,learned_latent,Learned latent,0.023313481224753657,0.006251802709720623,0.03922815178566063,0.012686392936008936,0.8,0.0011761890747320058,0.0052029733103022375,0.865625
23,8,96,latent_to_ee_curriculum,Latent→EE curriculum,0.01259858851939739,0.003750997935478342,0.016595543111398676,0.0065749472465399,0.934375,0.00013295903333881013,0.0,0.98125
23,16,192,raw_joint,Raw / padded joints,0.021044726961460387,0.005513698100375827,0.03321183595405961,0.01117104423713676,0.840625,0.0006167322726752,0.0019217944349718687,0.921875
23,16,192,canonical_ee,Canonical EE,0.006649725933470035,0.001665943713324862,0.01030206961777156,0.0034236447867678384,0.9625,4.732324016998822e-05,0.0,1.0
23,16,192,learned_latent,Learned latent,0.021034318999167457,0.005574357980313847,0.033185966160228536,0.011639344668632564,0.846875,0.0005494122618228417,0.001595067277132317,0.928125
23,16,192,latent_to_ee_curriculum,Latent→EE curriculum,0.006650182528308693,0.0018859995284243776,0.010318437596261927,0.0038377043481655406,0.953125,8.28096420906941e-05,0.0,0.99375
23,32,384,raw_joint,Raw / padded joints,0.019827233170845754,0.005164708172380928,0.032032441247013016,0.011068483041125891,0.84375,0.0006199655009885947,0.001595067277132317,0.921875
23,32,384,canonical_ee,Canonical EE,0.005911549053317826,0.001481153405236914,0.00931001687689543,0.0031816486428339905,0.965625,5.327100181125899e-05,0.0,0.996875
23,32,384,learned_latent,Learned latent,0.019820045553431337,0.005294162072769928,0.032012169218717634,0.011122286101950339,0.85,0.0006009842963570381,0.001630003758871208,0.91875
23,32,384,latent_to_ee_curriculum,Latent→EE curriculum,0.005914083581715067,0.0016379663746848366,0.009336456926115035,0.0035336142192556163,0.946875,0.00010935566347149912,0.0,0.9875
24,0,0,raw_joint,Raw / padded joints,0.10907349086017423,0.029166044825023826,0.19836735724110188,0.06008813733879791,0.109375,0.03631760749533364,0.06933927841747539,0.1375
24,0,0,canonical_ee,Canonical EE,0.014962530242049776,0.00479720295680735,0.02066244611389065,0.010914239191724448,0.91875,0.000203304576381958,0.0,0.9875
24,0,0,learned_latent,Learned latent,0.11357694607367447,0.03049943178512579,0.20601305088032051,0.06420512682162992,0.109375,0.03589899428854486,0.06897154257356783,0.146875
24,0,0,latent_to_ee_curriculum,Latent→EE curriculum,0.015408394134004303,0.004287348883123847,0.022282416077587294,0.010369811502906523,0.91875,0.0001308804303456883,0.0,0.990625
24,1,12,raw_joint,Raw / padded joints,0.05321691094959611,0.015411080454133965,0.09350671407249715,0.03212970735743585,0.48125,0.006351226076458241,0.021177533959097602,0.590625
24,1,12,canonical_ee,Canonical EE,0.01573275260323661,0.003931112254986206,0.01994720046306551,0.0064632753980762144,0.934375,0.00010740127987034982,0.0,0.99375
24,1,12,learned_latent,Learned latent,0.0531723024904577,0.014565255507221287,0.09341658339203046,0.030555183196304486,0.509375,0.005769738064636791,0.020355121702290944,0.621875
24,1,12,latent_to_ee_curriculum,Latent→EE curriculum,0.01490613963661691,0.0043273535524371185,0.01920480907068144,0.007374159120873316,0.915625,0.0001853180456723315,0.0,0.98125
24,2,24,raw_joint,Raw / padded joints,0.03185434410564623,0.008007030014588301,0.050495859307165485,0.018055370428883315,0.771875,0.0013181719730573456,0.004921157912027584,0.8625
24,2,24,canonical_ee,Canonical EE,0.01130242540217924,0.00286155577693001,0.01678668080926677,0.00577719696849193,0.93125,0.0001210008696780764,0.0,0.99375
24,2,24,learned_latent,Learned latent,0.03184309458794258,0.008486806102501741,0.05045093956605385,0.019490146578035075,0.740625,0.001638324668851773,0.0065358347683340335,0.8375
24,2,24,latent_to_ee_curriculum,Latent→EE curriculum,0.01135281020637691,0.0034603353366220438,0.016835177813434795,0.00718662782797155,0.93125,0.0001550624583993277,0.0,0.98125
24,4,48,raw_joint,Raw / padded joints,0.027550789506192486,0.007061361095214957,0.044192622151844295,0.015800708157729874,0.753125,0.0013721906942697662,0.0044880968821206435,0.85625
24,4,48,canonical_ee,Canonical EE,0.01252838743799766,0.0031389928478531724,0.016379883550623812,0.005464286561857059,0.940625,0.00011483009063294596,0.0,0.99375
24,4,48,learned_latent,Learned latent,0.027535836617867612,0.0075742949863101755,0.044151684827150164,0.01707119622465971,0.75,0.001448361179577798,0.005254269486741608,0.85
24,4,48,latent_to_ee_curriculum,Latent→EE curriculum,0.012535884548880723,0.0038714489404758135,0.016418421610759935,0.006898457328855311,0.94375,0.00010430706666845707,0.0,0.99375
24,8,96,raw_joint,Raw / padded joints,0.024091105663819876,0.006174488200103052,0.03777107411553116,0.013348829733174448,0.7875,0.0010148408391528717,0.0029626037283325274,0.903125
24,8,96,canonical_ee,Canonical EE,0.011285626664422574,0.0028261821122233053,0.013928700509744072,0.004822293924869102,0.95,0.00012535964206074557,0.0,0.9875
24,8,96,learned_latent,Learned latent,0.024079785273585255,0.006567699990927303,0.03774617900899692,0.014721962056558359,0.771875,0.001065248262324551,0.0034200122820298605,0.890625
24,8,96,latent_to_ee_curriculum,Latent→EE curriculum,0.011294740924434549,0.0032496510855512875,0.013981253522442097,0.005666811367099392,0.95625,9.77860973396003e-05,0.0,0.990625
24,16,192,raw_joint,Raw / padded joints,0.0214260748302548,0.0056356082898270776,0.035035515408769265,0.0112503814345482,0.828125,0.0007559586856900831,0.0022953479382610913,0.921875
24,16,192,canonical_ee,Canonical EE,0.009975439679853952,0.002499387051355172,0.012393859127840941,0.0045341106195631265,0.953125,0.0001038968080065495,0.0,0.99375
24,16,192,learned_latent,Learned latent,0.021419409014198285,0.005768920971388601,0.03501702168245726,0.011666589332568733,0.809375,0.0008781900738747685,0.00251952886925469,0.9125
24,16,192,latent_to_ee_curriculum,Latent→EE curriculum,0.009976108603059817,0.002457150335661205,0.012431916170536144,0.004612055732597397,0.946875,0.00011288475505710988,0.0,0.990625
24,32,384,raw_joint,Raw / padded joints,0.01938798706971632,0.00512691679535728,0.032801029445064196,0.01040301939028007,0.821875,0.0008036467193235275,0.002285792732818097,0.921875
24,32,384,canonical_ee,Canonical EE,0.00879862382666214,0.0022042996930696536,0.010363170882572565,0.003531054330099195,0.9375,8.871716797224551e-05,0.0,0.996875
24,32,384,learned_latent,Learned latent,0.019383531114580067,0.005255571987573692,0.03279053843279236,0.01082321590043578,0.821875,0.000719361433969813,0.0022953479382610913,0.928125
24,32,384,latent_to_ee_curriculum,Latent→EE curriculum,0.00879366657568437,0.002244342006402119,0.0103883067992187,0.0036361333911260557,0.953125,6.817258558664665e-05,0.0,0.996875
25,0,0,raw_joint,Raw / padded joints,0.10483187820585224,0.02801917855444421,0.1875331976902709,0.059370482950908104,0.0875,0.036438907932190165,0.0701776576894038,0.10625
25,0,0,canonical_ee,Canonical EE,0.013429271573686969,0.003408337319624715,0.019875609630564884,0.007876704172164148,0.921875,0.00024412770880438174,0.0,0.96875
25,0,0,learned_latent,Learned latent,0.1108095794628862,0.02971923371789777,0.19623136258731297,0.06494187511355005,0.09375,0.03565000097127715,0.06956053145889292,0.115625
25,0,0,latent_to_ee_curriculum,Latent→EE curriculum,0.013273108795194477,0.003540814366462607,0.019385554350023086,0.008284119322875393,0.93125,0.00021089162384120918,0.0,0.96875
25,1,12,raw_joint,Raw / padded joints,0.3257948695889926,0.07702527357957842,0.5657423576709092,0.1607511448547869,0.16875,0.028616149789328037,0.06232344435019755,0.20625
25,1,12,canonical_ee,Canonical EE,0.015097817659486637,0.0036758857225705956,0.02134451957121291,0.008711153854036311,0.909375,0.00033542729295992657,0.0,0.953125
25,1,12,learned_latent,Learned latent,0.3251352501010281,0.08344859937188019,0.5645985466929604,0.1726633567793732,0.1625,0.030313524949722205,0.06540324749028363,0.19375
25,1,12,latent_to_ee_curriculum,Latent→EE curriculum,0.01472607829924711,0.003917625747820423,0.020924732146232566,0.009143630625690239,0.9,0.0003605089347200609,8.706272714639302e-06,0.953125
