seed,shots,latent_explained_variance,latent_components,source_labeled_transitions,source_total_transitions
29,0,0.9999148388832865,"[[-0.10772515222142089, 0.15762316104279495, -0.8159962858946043, 0.5456191822947211], [0.1559031210311334, 0.10730600268946444, 0.5458983195126508, 0.816195236075796]]",36,3600
29,1,0.9999148388832865,"[[-0.10772515222142089, 0.15762316104279495, -0.8159962858946043, 0.5456191822947211], [0.1559031210311334, 0.10730600268946444, 0.5458983195126508, 0.816195236075796]]",36,3600
29,2,0.9999148388832865,"[[-0.10772515222142089, 0.15762316104279495, -0.8159962858946043, 0.5456191822947211], [0.1559031210311334, 0.10730600268946444, 0.5458983195126508, 0.816195236075796]]",36,3600
29,4,0.9999148388832865,"[[-0.10772515222142089, 0.15762316104279495, -0.8159962858946043, 0.5456191822947211], [0.1559031210311334, 0.10730600268946444, 0.5458983195126508, 0.816195236075796]]",36,3600
29,8,0.9999148388832865,"[[-0.10772515222142089, 0.15762316104279495, -0.8159962858946043, 0.5456191822947211], [0.1559031210311334, 0.10730600268946444, 0.5458983195126508, 0.816195236075796]]",36,3600
29,16,0.9999148388832865,"[[-0.10772515222142089, 0.15762316104279495, -0.8159962858946043, 0.5456191822947211], [0.1559031210311334, 0.10730600268946444, 0.5458983195126508, 0.816195236075796]]",36,3600
29,32,0.9999148388832865,"[[-0.10772515222142089, 0.15762316104279495, -0.8159962858946043, 0.5456191822947211], [0.1559031210311334, 0.10730600268946444, 0.5458983195126508, 0.816195236075796]]",36,3600
30,0,0.9999029389460878,"[[-0.1101696774899576, 0.15652133473519647, -0.8240198120387409, 0.5332495319286361], [-0.15435586524444897, -0.10927055033303701, -0.5335740832308897, -0.8243378624076829]]",36,3600
30,1,0.9999029389460878,"[[-0.1101696774899576, 0.15652133473519647, -0.8240198120387409, 0.5332495319286361], [-0.15435586524444897, -0.10927055033303701, -0.5335740832308897, -0.8243378624076829]]",36,3600
30,2,0.9999029389460878,"[[-0.1101696774899576, 0.15652133473519647, -0.8240198120387409, 0.5332495319286361], [-0.15435586524444897, -0.10927055033303701, -0.5335740832308897, -0.8243378624076829]]",36,3600
30,4,0.9999029389460878,"[[-0.1101696774899576, 0.15652133473519647, -0.8240198120387409, 0.5332495319286361], [-0.15435586524444897, -0.10927055033303701, -0.5335740832308897, -0.8243378624076829]]",36,3600
30,8,0.9999029389460878,"[[-0.1101696774899576, 0.15652133473519647, -0.8240198120387409, 0.5332495319286361], [-0.15435586524444897, -0.10927055033303701, -0.5335740832308897, -0.8243378624076829]]",36,3600
30,16,0.9999029389460878,"[[-0.1101696774899576, 0.15652133473519647, -0.8240198120387409, 0.5332495319286361], [-0.15435586524444897, -0.10927055033303701, -0.5335740832308897, -0.8243378624076829]]",36,3600
30,32,0.9999029389460878,"[[-0.1101696774899576, 0.15652133473519647, -0.8240198120387409, 0.5332495319286361], [-0.15435586524444897, -0.10927055033303701, -0.5335740832308897, -0.8243378624076829]]",36,3600
