condition,severity,trial,method,success,tracking_rmse,tail_rmse,final_error,inference_calls,mean_horizon,horizon_std,p10_horizon,p90_horizon,selected_action_error,compute_normalized
clean,1.0,87,fixed_12,0,0.4027766771853206,0.5661089595648093,0.43135414601484273,14,12.0,0.0,12.0,12.0,1.6149029468594238,0.08333333333333333
clean,1.0,87,fixed_24,0,1.0343525964880023,0.993868342117392,1.4401510516437572,7,24.0,0.0,24.0,24.0,0.6450396625826749,0.041666666666666664
clean,1.0,87,state_error,0,0.5079603928080144,0.5317755149969576,0.35375128040847004,14,12.0,4.840306956027833,7.3,18.400000000000002,1.3369286427875686,0.08333333333333333
clean,1.0,87,ensemble_uncertainty,0,0.9625678811209182,0.6971764433252674,0.41987248999028837,8,21.0,3.968626966596886,15.0,24.0,0.7453136195340073,0.047619047619047616
clean,1.0,87,attention_entropy,0,0.39429816529701134,0.4867516936137283,0.3969256695838503,13,12.923076923076923,2.0925339244208376,11.0,16.0,2.2020443184829315,0.07738095238095238
clean,1.0,87,shuffled_attention,0,0.9997050798781444,0.8608783982175452,1.146900195531672,9,18.666666666666668,7.731609003162134,6.6,24.0,0.7301850151102958,0.05357142857142857
clean,1.0,87,oracle_stop,1,0.1506652281701327,0.1936396542350952,0.19278906736569787,40,4.2,3.28785644455472,1.0,8.400000000000006,0.5294589151222052,0.23809523809523808
clean,1.0,88,fixed_3,1,0.15232135095001662,0.21002427536097582,0.19813954931830458,56,3.0,0.0,3.0,3.0,0.34689638282083696,0.3333333333333333
clean,1.0,88,fixed_6,1,0.2047917883084109,0.2930361219940806,0.27203620459112376,28,6.0,0.0,6.0,6.0,0.5256051961054881,0.16666666666666666
clean,1.0,88,fixed_12,0,0.37305583537895864,0.4801405288186795,0.45701187844707913,14,12.0,0.0,12.0,12.0,1.6811118660742552,0.08333333333333333
clean,1.0,88,fixed_24,0,0.9042796208489585,1.1422564876308605,1.3681718196066806,7,24.0,0.0,24.0,24.0,0.7451850582236617,0.041666666666666664
clean,1.0,88,state_error,0,0.6323813806987275,0.8425122349337688,0.11090894665756137,13,12.923076923076923,5.837037426397039,6.2,18.8,1.1340454968181586,0.07738095238095238
clean,1.0,88,ensemble_uncertainty,0,0.875161015354801,1.0599047027606658,1.1662313269683136,8,21.0,6.48074069840786,16.6,24.0,0.7113818284717103,0.047619047619047616
clean,1.0,88,attention_entropy,1,0.3902151920470548,0.46804149071106604,0.35740800126429273,13,12.923076923076923,2.0925339244208376,11.0,16.0,2.230999181809226,0.07738095238095238
