method,split,condition,alias,composition,trial,success,action_rmse,chunk_rmse,final_error,sequence_correct,swapped_success,swapped_action_rmse,prompt_swap_output_shift,prompt_swap_error_increase,prompt_swap_success_drop
prompt_one_step_bc,unseen,distractor_mild,1,1-4-2,0,1.0,0.32259058952331543,1.2275636196136475,0.48524463176727295,1.0,0.0,0.9409667253494263,0.7052158713340759,0.6183761358261108,1.0
ifp_future_chunk,unseen,distractor_mild,1,1-4-2,0,0.0,0.45922768115997314,1.6888447999954224,0.859919548034668,1.0,0.0,0.9335178732872009,0.6719302535057068,0.4742901921272278,0.0
ifp_shuffled_prompt,unseen,distractor_mild,1,1-4-2,0,0.0,0.9482936263084412,3.7008626461029053,1.3060331344604492,0.0,0.0,0.9440430998802185,0.00678234500810504,-0.004250526428222656,0.0
direct_bc,unseen,distractor_hard,1,1-4-2,0,0.0,0.8271039128303528,3.2142534255981445,0.6288847923278809,0.0,0.0,0.8271039128303528,0.0,0.0,0.0
prompt_one_step_bc,unseen,distractor_hard,1,1-4-2,0,0.0,0.27585625648498535,1.04499089717865,1.3085427284240723,0.0,0.0,0.7984182238578796,0.648330807685852,0.5225619673728943,0.0
ifp_future_chunk,unseen,distractor_hard,1,1-4-2,0,0.0,0.4064587354660034,1.453147053718567,1.6645747423171997,0.0,0.0,0.8188491463661194,0.6338481307029724,0.41239041090011597,0.0
ifp_shuffled_prompt,unseen,distractor_hard,1,1-4-2,0,0.0,0.8402946591377258,3.269453763961792,0.5163429379463196,0.0,0.0,0.8392089009284973,0.01578660123050213,-0.0010857582092285156,0.0
direct_bc,unseen,prompt_corrupt_mild,1,1-4-2,0,0.0,0.8862010836601257,3.4501519203186035,0.15007860958576202,0.0,0.0,0.8862010836601257,0.0,0.0,0.0
prompt_one_step_bc,unseen,prompt_corrupt_mild,1,1-4-2,0,0.0,0.3139141798019409,1.1829655170440674,1.2379974126815796,1.0,0.0,0.8407436609268188,0.6405506730079651,0.5268294811248779,0.0
ifp_future_chunk,unseen,prompt_corrupt_mild,1,1-4-2,0,0.0,0.40838536620140076,1.5393133163452148,1.502808690071106,0.0,0.0,0.8850643634796143,0.6467152833938599,0.4766789972782135,0.0
ifp_shuffled_prompt,unseen,prompt_corrupt_mild,1,1-4-2,0,0.0,0.9037138819694519,3.5215418338775635,1.0202767848968506,0.0,0.0,0.9034909605979919,0.00874300766736269,-0.00022292137145996094,0.0
direct_bc,unseen,prompt_corrupt_hard,1,1-4-2,0,0.0,0.8917316198348999,3.4748809337615967,0.19914638996124268,0.0,0.0,0.8917316198348999,0.0,0.0,0.0
prompt_one_step_bc,unseen,prompt_corrupt_hard,1,1-4-2,0,0.0,0.5413995981216431,2.0889878273010254,4.277951240539551,0.0,0.0,0.8881990313529968,0.6745612621307373,0.34679943323135376,0.0
ifp_future_chunk,unseen,prompt_corrupt_hard,1,1-4-2,0,0.0,0.488224059343338,1.9046525955200195,3.7154717445373535,0.0,0.0,0.8872578740119934,0.6393356323242188,0.3990338146686554,0.0
ifp_shuffled_prompt,unseen,prompt_corrupt_hard,1,1-4-2,0,0.0,0.906532347202301,3.536959648132324,0.8993253111839294,0.0,0.0,0.9059348702430725,0.01388366986066103,-0.0005974769592285156,0.0
direct_bc,unseen,clean,1,1-4-2,1,0.0,0.8624351620674133,3.353395462036133,0.27946773171424866,0.0,0.0,0.8624351620674133,0.0,0.0,0.0
prompt_one_step_bc,unseen,clean,1,1-4-2,1,1.0,0.2767421305179596,1.0537739992141724,0.7481034994125366,1.0,0.0,0.8283032774925232,0.6442540287971497,0.5515611469745636,1.0
ifp_future_chunk,unseen,clean,1,1-4-2,1,0.0,0.41178375482559204,1.5331244468688965,1.1775907278060913,0.0,0.0,0.8605986833572388,0.612673819065094,0.44881492853164673,0.0
ifp_shuffled_prompt,unseen,clean,1,1-4-2,1,0.0,0.8781216740608215,3.417837381362915,0.9041054844856262,0.0,0.0,0.8782681226730347,0.007717497646808624,0.00014644861221313477,0.0
direct_bc,unseen,distractor_mild,1,1-4-2,1,0.0,0.9210333824157715,3.580781936645508,0.2912135124206543,0.0,0.0,0.9210333824157715,0.0,0.0,0.0
prompt_one_step_bc,unseen,distractor_mild,1,1-4-2,1,1.0,0.29478222131729126,1.1208581924438477,0.6708735227584839,1.0,0.0,0.8794912695884705,0.6704511642456055,0.5847090482711792,1.0
ifp_future_chunk,unseen,distractor_mild,1,1-4-2,1,0.0,0.4252598285675049,1.528518557548523,0.8273382782936096,0.0,0.0,0.901202917098999,0.7030336260795593,0.47594308853149414,0.0
ifp_shuffled_prompt,unseen,distractor_mild,1,1-4-2,1,0.0,0.9377186298370361,3.64904522895813,1.134312391281128,0.0,0.0,0.935130774974823,0.005568148568272591,-0.0025878548622131348,0.0
direct_bc,unseen,distractor_hard,1,1-4-2,1,0.0,0.8402805328369141,3.2667274475097656,0.45210185647010803,0.0,0.0,0.8402805328369141,0.0,0.0,0.0
prompt_one_step_bc,unseen,distractor_hard,1,1-4-2,1,0.0,0.27115893363952637,1.0350054502487183,1.2002983093261719,1.0,0.0,0.8179569244384766,0.6396856307983398,0.5467979907989502,0.0
ifp_future_chunk,unseen,distractor_hard,1,1-4-2,1,0.0,0.40752071142196655,1.5016483068466187,0.9292104244232178,0.0,0.0,0.8418712019920349,0.5913995504379272,0.43435049057006836,0.0
ifp_shuffled_prompt,unseen,distractor_hard,1,1-4-2,1,0.0,0.853856086730957,3.324233055114746,0.8926388621330261,0.0,0.0,0.8534005284309387,0.009850648231804371,-0.00045555830001831055,0.0
direct_bc,unseen,prompt_corrupt_mild,1,1-4-2,1,0.0,0.867088794708252,3.378750801086426,0.3164932131767273,0.0,0.0,0.867088794708252,0.0,0.0,0.0
prompt_one_step_bc,unseen,prompt_corrupt_mild,1,1-4-2,1,1.0,0.2987041771411896,1.1449806690216064,0.8995188474655151,1.0,0.0,0.8523884415626526,0.695393443107605,0.553684264421463,1.0
ifp_future_chunk,unseen,prompt_corrupt_mild,1,1-4-2,1,0.0,0.44090545177459717,1.6279773712158203,1.1300774812698364,0.0,0.0,0.859839141368866,0.6871001720428467,0.4189336895942688,0.0
ifp_shuffled_prompt,unseen,prompt_corrupt_mild,1,1-4-2,1,0.0,0.8859086036682129,3.4554216861724854,0.9067962765693665,0.0,0.0,0.8838139176368713,0.0040879519656300545,-0.0020946860313415527,0.0
direct_bc,unseen,prompt_corrupt_hard,1,1-4-2,1,0.0,0.8279763460159302,3.2193377017974854,0.5468487739562988,0.0,0.0,0.8279763460159302,0.0,0.0,0.0
prompt_one_step_bc,unseen,prompt_corrupt_hard,1,1-4-2,1,0.0,0.40138691663742065,1.4955651760101318,1.8422669172286987,0.0,0.0,0.7945756316184998,0.5156440734863281,0.3931887149810791,0.0
ifp_future_chunk,unseen,prompt_corrupt_hard,1,1-4-2,1,0.0,0.4057409167289734,1.5135927200317383,1.2169640064239502,0.0,0.0,0.8215929865837097,0.5319967865943909,0.41585206985473633,0.0
ifp_shuffled_prompt,unseen,prompt_corrupt_hard,1,1-4-2,1,0.0,0.8383805751800537,3.2642974853515625,0.5903031826019287,0.0,0.0,0.8393917679786682,0.002735530026257038,0.001011192798614502,0.0
direct_bc,unseen,clean,2,2-5-3,0,0.0,0.8907817006111145,3.4798099994659424,0.7792236804962158,0.0,0.0,0.8907817006111145,0.0,0.0,0.0
prompt_one_step_bc,unseen,clean,2,2-5-3,0,0.0,0.20931895077228546,0.7530677914619446,1.2331631183624268,1.0,0.0,0.8978558778762817,0.7974820733070374,0.6885369271039963,0.0
ifp_future_chunk,unseen,clean,2,2-5-3,0,0.0,0.3820665776729584,1.4036692380905151,1.0482473373413086,1.0,0.0,0.9018504619598389,0.679990291595459,0.5197838842868805,0.0
ifp_shuffled_prompt,unseen,clean,2,2-5-3,0,0.0,0.8834176659584045,3.440725803375244,0.3024952709674835,0.0,0.0,0.880649209022522,0.006472721695899963,-0.0027684569358825684,0.0
direct_bc,unseen,distractor_mild,2,2-5-3,0,0.0,0.8648420572280884,3.371877908706665,0.6749186515808105,0.0,0.0,0.8648420572280884,0.0,0.0,0.0
prompt_one_step_bc,unseen,distractor_mild,2,2-5-3,0,0.0,0.21808616816997528,0.7936690449714661,1.4470704793930054,1.0,0.0,0.9130167365074158,0.8421591520309448,0.6949305683374405,0.0
ifp_future_chunk,unseen,distractor_mild,2,2-5-3,0,0.0,0.34735432267189026,1.2665780782699585,1.3843320608139038,1.0,0.0,0.9226914644241333,0.7596771121025085,0.575337141752243,0.0
ifp_shuffled_prompt,unseen,distractor_mild,2,2-5-3,0,0.0,0.8566166758537292,3.3296873569488525,0.10211582481861115,0.0,0.0,0.854631245136261,0.005539315287023783,-0.0019854307174682617,0.0
direct_bc,unseen,distractor_hard,2,2-5-3,0,0.0,0.8920322060585022,3.477165460586548,0.542249858379364,0.0,0.0,0.8920322060585022,0.0,0.0,0.0
prompt_one_step_bc,unseen,distractor_hard,2,2-5-3,0,1.0,0.20702411234378815,0.7056759595870972,0.96290123462677,1.0,0.0,0.9284183382987976,0.8265427350997925,0.7213942259550095,1.0
ifp_future_chunk,unseen,distractor_hard,2,2-5-3,0,0.0,0.3901331424713135,1.4240190982818604,0.8700001239776611,1.0,0.0,0.923539400100708,0.7700636386871338,0.5334062576293945,0.0
ifp_shuffled_prompt,unseen,distractor_hard,2,2-5-3,0,0.0,0.8877060413360596,3.4499824047088623,0.23233765363693237,0.0,0.0,0.8829808831214905,0.008307882584631443,-0.004725158214569092,0.0
direct_bc,unseen,prompt_corrupt_mild,2,2-5-3,0,0.0,0.9274384379386902,3.617800235748291,1.2495559453964233,0.0,0.0,0.9274384379386902,0.0,0.0,0.0
prompt_one_step_bc,unseen,prompt_corrupt_mild,2,2-5-3,0,1.0,0.2733675539493561,1.0034468173980713,0.6865074634552002,1.0,0.0,0.9523875117301941,0.7822371125221252,0.679019957780838,1.0
ifp_future_chunk,unseen,prompt_corrupt_mild,2,2-5-3,0,0.0,0.4522548317909241,1.6717127561569214,0.4808066785335541,0.0,0.0,0.9520168304443359,0.6544643640518188,0.49976199865341187,0.0
ifp_shuffled_prompt,unseen,prompt_corrupt_mild,2,2-5-3,0,0.0,0.9192578792572021,3.5764262676239014,0.7161644101142883,0.0,0.0,0.9168904423713684,0.006627880036830902,-0.0023674368858337402,0.0
direct_bc,unseen,prompt_corrupt_hard,2,2-5-3,0,0.0,0.8449837565422058,3.3014578819274902,0.6144534349441528,0.0,0.0,0.8449837565422058,0.0,0.0,0.0
prompt_one_step_bc,unseen,prompt_corrupt_hard,2,2-5-3,0,0.0,0.32914742827415466,1.1609208583831787,2.3088457584381104,1.0,0.0,0.8648843169212341,0.7119728326797485,0.5357368886470795,0.0
